state,abortion_sentiment,blm_sentiment,covid_sentiment,economy_sentiment,healthcare_sentiment,immigrant_sentiment,lgbtq_sentiment,Abbreviation
alabama,-0.0893069108982514,-0.408707511836085,-0.516989591005741,-0.397383941418451,-0.490296259973988,-0.619929991444649,-0.193995411870843,AL
arkansas,-0.785519951581955,-0.73203545231973,-0.594880130781225,-0.654507008863955,-0.600108596563339,-0.342295151781028,-0.158847511574499,AR
california,-0.302620003604498,-0.503193922055875,-0.0015875982819417,-0.0862439333372651,-0.374564751361232,-0.48791644184795,0.0222650592286999,CA
colorado,-0.276622266453855,-0.799052441821379,-0.666089627849922,-0.61521404674313,-0.608577102993094,-0.568149345195013,0.113117792225409,CO
connecticut,-0.548439812369463,-0.692000189671914,-0.643449937473294,-0.265361145867946,-0.225541756968155,-0.645028336290502,-0.388699080079879,CT
delaware,-0.821125332313248,0.630380511283875,-0.665970412815142,-0.350348760639983,-0.578337775066842,-0.735475238789333,0.142113218493495,DE
georgia,-0.680708467381672,-0.748683690250694,-0.512971557923726,-0.463410772232042,-0.63495064168486,-0.475869370279489,-0.234334546798581,GA
hawaii,-0.714599545715618,-0.614324665781277,-0.638937127652839,-0.389113924094847,-0.737807021254585,-0.494126216889361,0.0726618151248963,HI
idaho,-0.324010121411291,-0.298226687602881,-0.607888480447268,-0.578602540688437,-0.601267532801923,-0.395995771152931,-0.566649321147374,ID
indiana,-0.582314928731333,-0.374483503401279,-0.532429343680723,-0.216330569605062,-0.429129255204477,-0.490451265639121,-0.385232112609624,IN
iowa,-0.595959312533483,-0.655999880341383,-0.495856129773558,-0.468278279628905,-0.589933357204492,-0.808780554818798,-0.355608350650282,IA
kentucky,0.0881884565783871,-0.799265700036829,-0.354108055181141,-0.59032382515169,-0.366816083805788,-0.756493170990104,-0.500744388621263,KY
louisiana,-0.175793436169624,-0.385246948284261,-0.71027190119376,-0.421726357100303,-0.662191953359698,-0.372805879584381,0.272020305087993,LA
maine,-0.46252068044037,0.149631765881026,-0.554890616740311,-0.412616373388628,-0.306838945537255,-0.634351749679524,-0.0669297694329185,ME
michigan,-0.482393599606948,-0.586782947034139,-0.58586497107359,-0.534505024632214,-0.582617642667868,-0.394684314433802,-0.104610288986361,MI
